Trey Palmer,TB,WR,15,3,22,7.3,0,1,0,76.3,5.09,2.12
Jakobi Meyers,LV,WR,14,3,19,6.3,1,0,0,185.4,13.24,2.85
Garrett Wilson,NYJ,WR,15,3,1,0.3,0,2,2,197.9,13.19,2.17
Brian Hoyer,LV,QB,2,3,-3,-1,0,0,0,6.9,3.47,2.31
Devine Ozigbo,DET,RB,1,3,5,1.7,0,0,0,2.3,2.3,0.58
Ty Montgomery,NE,WR,7,3,9,3,0,0,0,9.9,1.41,1.24
Isaiah McKenzie,IND,WR,9,3,14,4.7,0,0,0,20.6,2.29,1.47
Zonovan Knight,DET,RB,2,3,13,4.3,0,0,0,3.1,1.55,0.78
Chris Evans,CIN,RB,1,2,12,6,0,0,0,2.1,2.1,0.7
Ashtyn Davis,NYJ,SS,2,2,3,1.5,0,0,0,0.3,0.15,0.15
Jameson Williams,DET,WR,11,2,23,11.5,1,1,0,70.8,6.44,2.95
Marquise Brown,ARI,WR,13,2,23,11.5,0,0,0,134.7,10.36,2.54
Blaine Gabbert,KC,QB,1,2,-1,-0.5,0,0,0,-0.9,-0.86,-0.43
Mason Rudolph,PIT,QB,2,2,4,2,0,0,0,20.1,10.06,10.06
George Pickens,PIT,WR,15,2,15,7.5,0,2,0,189.1,12.61,3.26
Jalen Reeves-Maybin,DET,OLB,2,2,3,1.5,0,0,0,0.3,0.15,0.15
Brandon Bolden,LV,RB,1,2,25,12.5,1,0,0,8.5,8.5,4.25
Nathan Peterman,CHI,QB,1,2,-4,-2,0,1,0,-0.4,-0.4,-0.2
Gerald Everett,LAC,TE,13,2,4,2,0,3,0,102,7.85,2.13
Tyler Boyd,CIN,WR,15,2,11,5.5,0,0,0,139.5,9.3,2.11
Darnell Mooney,CHI,WR,14,2,5,2.5,0,0,0,78.9,5.64,2.39
Davis Mills,HOU,QB,5,2,9,4.5,0,0,0,15.8,3.16,7.91
Case Keenum,HOU,QB,2,2,1,0.5,0,1,0,12.7,6.37,6.37
Darrynton Evans,MIA,RB,1,2,16,8,0,0,0,1.6,1.6,0.8
Ray-Ray McCloud,SF,WR,6,2,23,11.5,0,0,0,22.6,3.77,2.05
Alec Ingold,MIA,FB,9,2,0,0,0,0,0,22.1,2.46,1.58
Keenan Allen,LAC,WR,13,2,6,3,0,2,1,280.3,21.56,2.55
Dee Eskridge,SEA,WR,3,2,5,2.5,0,0,0,0.5,0.17,0.25
Jake Funk,IND,RB,1,2,10,5,0,0,0,3.2,3.2,1.07
Derrick Gore,WAS,RB,1,2,23,11.5,0,0,0,2.3,2.3,1.15
Ben Skowronek,LA,WR,8,2,9,4.5,0,0,0,17.3,2.16,2.16
Marcus Mariota,PHI,QB,1,2,6,3,0,0,0,1.2,1.24,0.62
Chris Moore,TEN,WR,13,2,39,19.5,0,1,0,58.1,4.47,2.91
Chigoziem Okonkwo,TEN,TE,15,2,6,3,0,0,0,101.4,6.76,1.99
DeAndre Hopkins,TEN,WR,15,2,9,4.5,0,0,0,191.8,12.79,3.04
Nick Bawden,NYJ,FB,4,2,4,2,1,0,0,9.7,2.43,2.43
Teddy Bridgewater,DET,QB,1,2,-2,-1,0,0,0,-0.2,-0.2,-0.1
Quentin Johnston,LAC,WR,15,2,3,1.5,0,0,0,83.8,5.59,2.39
George Kittle,SF,TE,15,1,2,2,0,0,0,197.3,13.15,3.13
