Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,TD,Catch Rate,Catches,YAC,FUM,DPI,DPI Yards
11-J.Proche,00-0036133,James Proche,BAL,74,69,36.1%,33.3%,20,202,0,80%,16,3.4,0,0,0
87-Q.Cephus,00-0036277,Quintez Cephus,DET,71,69,26.0%,25.3%,22,204,2,68%,15,6.3,0,1,28
16-B.Zylstra,00-0034052,Brandon Zylstra,CAR,69,66,23.7%,22.2%,25,250,1,72%,18,6.6,0,0,0
18-D.Johnson,00-0035216,Diontae Johnson,PIT,68,34,-7.6%,-10.1%,169,1161,8,63%,107,4.9,2,5,64
84-C.Davis,00-0033871,Corey Davis,NYJ,68,61,1.2%,-0.3%,59,492,4,58%,34,3.8,2,3,72
17-O.Zaccheaus,00-0035208,Olamide Zaccheaus,ATL,66,54,2.9%,0.0%,53,406,3,58%,31,3.1,0,1,2
18-F.Swain,00-0036247,Freddie Swain,SEA,64,61,10.1%,9.1%,40,343,4,63%,25,8.2,0,1,3
11-C.Claypool,00-0036326,Chase Claypool,PIT,64,55,-5.2%,-6.2%,106,860,2,57%,60,5.0,0,5,71
17-M.Turner,00-0034867,Malik Turner,DAL,63,64,37.6%,38.2%,16,149,3,75%,12,6.2,0,0,0
11-M.Jones,00-0029293,Marvin Jones,JAC,63,66,-6.1%,-5.8%,120,832,4,61%,73,1.6,0,3,43
15-I.Smith-Marsette,00-0036635,Ihmir Smith-Marsette,MIN,63,71,121.9%,139.6%,6,116,2,83%,5,3.4,0,0,0
5-J.Palmer,00-0036988,Josh Palmer,LAC,63,61,3.7%,3.1%,49,353,4,67%,33,3.0,0,0,0
11-K.Raymond,00-0032464,Kalif Raymond,DET,62,70,-1.8%,-0.2%,71,576,4,68%,48,5.5,0,0,0
15-N.Agholor,00-0031549,Nelson Agholor,NE,60,62,-1.3%,-0.9%,64,473,3,58%,37,2.8,0,5,54
8-J.Reynolds,00-0033943,Josh Reynolds,2TM,58,71,2.1%,5.3%,49,396,2,59%,29,4.1,0,2,21
11-D.Mooney,00-0036309,Darnell Mooney,CHI,54,28,-7.9%,-10.2%,140,1055,4,58%,81,4.7,0,3,58
10-J.Jeudy,00-0036407,Jerry Jeudy,DEN,53,54,0.0%,0.1%,56,467,0,68%,38,4.7,1,1,16
13-M.Gallup,00-0034764,Michael Gallup,DAL,50,52,-3.2%,-3.0%,62,445,2,56%,35,3.5,0,3,48
86-M.Hollins,00-0033555,Mack Hollins,MIA,50,62,9.2%,14.3%,28,223,4,50%,14,2.9,0,1,24
18-C.Conley,00-0032128,Chris Conley,HOU,50,51,4.7%,5.1%,37,323,2,59%,22,5.7,1,0,0
2-J.Jones,00-0027944,Julio Jones,TEN,45,46,-1.1%,-0.6%,48,434,1,65%,31,3.6,0,0,0
15-J.Jennings,00-0036259,Jauan Jennings,SF,44,55,2.2%,6.0%,38,282,5,63%,24,4.3,1,0,0
10-D.Byrd,00-0031868,Damiere Byrd,CHI,43,51,1.6%,4.1%,38,329,1,68%,26,4.5,0,0,0
10-T.Smith,00-0034765,Tre'Quan Smith,NO,42,47,-1.7%,-0.5%,50,377,3,64%,32,3.5,1,1,11
87-I.Ford,00-0033471,Isaiah Ford,MIA,41,48,18.4%,23.5%,17,161,2,71%,12,5.0,0,0,0
19-I.McKenzie,00-0033466,Isaiah McKenzie,BUF,40,38,6.2%,5.0%,26,178,1,77%,20,4.1,0,0,0
84-G.Ward,00-0033733,Greg Ward,PHI,39,40,32.3%,33.3%,11,95,3,64%,7,2.3,0,0,0
16-A.Dulin,00-0035021,Ashton Dulin,IND,38,43,7.6%,9.9%,22,173,2,59%,13,3.8,0,2,54
9-K.Hinton,00-0035864,Kendall Hinton,DEN,38,36,7.0%,5.7%,23,175,1,65%,15,3.8,0,1,20
