Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,TD,Catch Rate,Catches,YAC,FUM,DPI,DPI Yards
80-I.Thomas,00-0034365,Ian Thomas,CAR,-26,-22,-21.9%,-19.5%,30,188,0,60%,18,5.1,0,1,6
86-R.Griffin,00-0030108,Ryan Griffin,NYJ,-27,-23,-16.9%,-15.5%,42,261,2,64%,27,5.5,1,0,0
80-J.O'Shaughnessy,00-0031951,James O'Shaughnessy,JAC,-27,-4,-18.7%,-9.1%,34,244,0,71%,24,4.8,0,1,15
86-K.Blanton,,,LA,-28,-31,-70.9%,-79.0%,7,37,0,57%,4,3.3,1,0,0
88-J.Akins,00-0034364,Jordan Akins,HOU,-28,-25,-20.8%,-19.6%,33,214,0,73%,24,3.4,2,0,0
82-T.Tremble,00-0037005,Tommy Tremble,CAR,-36,-40,-24.0%,-25.8%,35,180,1,57%,20,3.5,0,0,0
82-A.Trautman,00-0036422,Adam Trautman,NO,-41,-41,-21.6%,-21.8%,43,263,2,63%,27,4.1,1,0,0
83-T.Conklin,00-0034270,Tyler Conklin,MIN,-41,-40,-14.8%,-14.6%,87,593,3,70%,61,5.3,1,1,1
84-J.Oliver,00-0035249,Josh Oliver,BAL,-43,-40,-53.0%,-50.5%,15,66,0,60%,9,2.8,1,0,0
89-T.Sweeney,00-0035308,Tommy Sweeney,BUF,-46,-41,-59.3%,-54.1%,12,44,1,75%,9,1.6,1,1,3
84-C.Brate,00-0031273,Cameron Brate,TB,-53,-76,-20.8%,-26.6%,57,245,4,53%,30,2.7,0,1,9
83-R.Seals-Jones,00-0033611,Ricky Seals-Jones,WAS,-60,-63,-25.7%,-26.6%,49,271,2,61%,30,5.1,0,0,0
81-J.Smith,00-0033858,Jonnu Smith,NE,-63,-61,-28.6%,-28.1%,45,294,1,62%,28,8.3,1,0,0
85-P.Brown,00-0033439,Pharaoh Brown,HOU,-63,-74,-35.3%,-40.2%,34,171,0,68%,23,4.6,1,1,13
88-E.Engram,00-0033881,Evan Engram,NYG,-81,-67,-24.2%,-21.3%,73,408,3,63%,46,4.0,1,3,26
