Player,Team,Pos,Games,Tgt,Rec,Yds,YPR,TD,PPR,PPR/G,PPR/T
Ameer Abdullah,MIN,RB,6,10,8,58,7.3,2,30,5,1.88
DeMichael Harris,IND,WR,6,10,10,79,7.9,0,22.5,3.75,1.41
Ke'Shawn Vaughn,TB,RB,6,10,5,34,6.8,1,23.3,3.88,0.75
Saquon Barkley,NYG,RB,2,9,6,60,10,0,15.4,7.7,0.62
Ryan Nall,CHI,RB,6,9,8,67,8.4,1,20.7,3.45,1.88
Parris Campbell,IND,WR,2,9,6,71,11.8,0,14.7,7.35,1.84
Devine Ozigbo,JAC,RB,4,9,9,42,4.7,0,13.3,3.33,1.33
Tyrie Cleveland,DEN,WR,5,9,6,63,10.5,0,12.3,2.46,2.05
Foster Moreau,LV,TE,7,9,7,140,20,2,33,4.71,4.71
Tarik Cohen,CHI,RB,3,9,6,41,6.8,0,17.5,5.83,0.88
Alex Armah,CAR,RB,12,9,5,18,3.6,0,7.7,0.64,0.7
DeAndre Washington,MIA,RB,3,9,4,28,7,0,15.4,5.13,0.48
Jakob Johnson,NE,FB,7,9,8,35,4.4,1,17.5,2.5,2.19
Sony Michel,NE,RB,8,9,7,114,16.3,1,75.3,9.41,0.88
Mark Ingram,BAL,RB,10,8,6,50,8.3,0,52.9,5.29,0.68
Chris Manhertz,CAR,TE,7,8,6,52,8.7,0,11.2,1.6,1.87
J.J. Arcega-Whiteside,PHI,TE,5,8,4,85,21.3,0,12.5,2.5,3.13
JaMycal Hasty,SF,RB,6,8,7,33,4.7,0,31.1,5.18,0.68
Pharoh Cooper,CAR,WR,5,8,5,73,14.6,0,12.3,2.46,2.46
Darrius Shepherd,GB,WR,6,8,5,46,9.2,0,9.6,1.6,1.92
Josh Adams,NYJ,RB,6,8,6,29,4.8,0,36.6,6.1,1.05
River Cracraft,SF,WR,3,8,6,41,6.8,0,10.1,3.37,1.68
MyCole Pruitt,TEN,TE,5,8,5,49,9.8,2,21.9,4.38,4.38
Nick Westbrook-Ikhine,TEN,WR,7,8,3,33,11,0,6.3,0.9,2.1
Steven Mitchell,HOU,WR,3,8,5,60,12,0,11,3.67,2.2
Tanner Hudson,TB,TE,4,7,3,41,13.7,0,7.1,1.78,2.37
Cethan Carter,CIN,TE,6,7,5,53,10.6,0,10.3,1.72,2.06
Kahale Warring,HOU,TE,4,7,3,35,11.7,0,6.5,1.63,2.17
John Ross,CIN,WR,2,7,2,17,8.5,0,3.7,1.85,1.85
Laquon Treadwell,ATL,WR,4,7,6,49,8.2,2,22.9,5.73,3.82
Damien Harris,NE,RB,10,7,5,52,10.4,0,91.3,9.13,0.64
Devin Asiasi,NE,TE,4,7,2,39,19.5,1,11.9,2.98,5.95
Gabe Nabers,LAC,RB,8,7,5,25,5,2,20.2,2.53,2.89
Trent Sherfield,ARI,WR,2,7,5,50,10,0,10,5,2
Antonio Gandy-Golden,WAS,WR,4,7,1,3,3,0,3.5,0.88,1.75
Peyton Barber,WAS,RB,14,7,4,12,3,0,55,3.93,0.56
Lawrence Cager,NYJ,TE,2,6,2,35,17.5,0,5.5,2.75,2.75
Virgil Green,LAC,TE,4,6,3,50,16.7,1,14,3.5,4.67
Ted Ginn,CHI,WR,3,6,3,40,13.3,0,7,2.33,2.33
Malik Taylor,GB,WR,6,6,5,66,13.2,1,18.5,3.08,3.08
Lee Smith,BUF,TE,5,6,4,35,8.8,2,19.5,3.9,4.88
Corey Clement,PHI,RB,8,6,5,25,5,0,21,2.63,0.81
Robert Foster,WAS,WR,3,6,2,37,18.5,0,5.7,1.9,2.85
Theo Riddick,LV,WR,4,6,5,43,8.6,0,10.7,2.68,0.97
Ty Montgomery,NO,WR,4,6,3,27,9,0,15.8,3.95,0.72
Ashton Dulin,IND,WR,7,6,3,53,17.7,0,9.4,1.34,1.88
Seth Roberts,CAR,WR,3,6,4,31,7.8,0,7.1,2.37,1.78
Levine Toilolo,NYG,TE,5,6,5,46,9.2,0,9.6,1.92,1.92
Bennie Fowler,NO,WR,1,6,2,11,5.5,0,3.1,3.1,1.55
Courtland Sutton,DEN,WR,1,6,3,66,22,0,9.6,9.6,3.2
Josh Malone,NYJ,WR,1,6,4,16,4,0,6.8,6.8,1.36
Terry Godwin,JAC,WR,2,6,3,32,10.7,0,6.5,3.25,1.63
Diontae Spencer,DEN,WR,4,6,3,26,8.7,0,7.5,1.88,1.25
Dante Pettis,NYG,WR,2,5,4,76,19,1,17.6,8.8,4.4
Gunner Olszewski,NE,WR,6,5,5,62,12.4,1,19.5,3.25,1.95
Justice Hill,BAL,RB,6,5,5,20,4,0,13,2.17,0.76
Khari Blasingame,TEN,FB,5,5,4,39,9.8,0,7.9,1.58,1.98
Tavon Austin,GB,WR,3,5,5,20,4,0,7,2.33,1.4
Andre Roberts,BUF,WR,3,5,4,34,8.5,0,7.1,2.37,1.42
Lil'Jordan Humphrey,NO,WR,2,5,3,46,15.3,1,13.6,6.8,4.53
Trayveon Williams,CIN,RB,6,5,5,30,6,0,21.7,3.62,0.7
Tevin Coleman,SF,RB,6,5,4,34,8.5,0,12.5,2.08,0.4
Andy Janovich,CLE,RB,6,5,2,13,6.5,0,3.7,0.62,0.93
Jaeden Graham,ATL,TE,4,5,3,25,8.3,0,5.5,1.38,1.83
C.J. Prosise,HOU,RB,5,5,5,18,3.6,1,12.7,2.54,0.85
Dalton Keene,NE,TE,3,5,3,16,5.3,0,4.6,1.53,1.53
Eric Saubert,JAC,TE,4,4,3,16,5.3,0,4.6,1.15,1.53
Antonio Callaway,MIA,WR,3,4,2,20,10,0,4,1.33,2
Jake Butt,DEN,TE,3,4,2,5,2.5,0,2.5,0.83,1.25
D'Ernest Johnson,CLE,RB,8,4,3,14,4.7,0,21,2.63,0.58
T.J. Yeldon,BUF,RB,3,4,1,22,22,1,16.2,5.4,1.47
Michael Burton,NO,FB,6,4,4,28,7,0,8.6,1.43,0.78
Jonathan Williams,DET,RB,1,4,4,21,5.3,0,4.6,4.6,0.92
Brandon Zylstra,CAR,WR,4,4,3,35,11.7,0,6.6,1.65,1.65
Darrynton Evans,TEN,RB,4,4,2,27,13.5,1,16.1,4.03,1.01
Riley Ridley,CHI,WR,2,4,4,39,9.8,0,7.9,3.95,1.98
Deontay Burnett,PHI,WR,1,4,3,19,6.3,0,4.9,4.9,1.63
Alfred Morris,NYG,RB,9,4,3,19,6.3,1,40.7,4.52,0.7
Johnny Mundt,LA,TE,2,4,4,52,13,0,9.2,4.6,2.3
Austin Carr,NO,WR,4,4,3,27,9,1,11.7,2.93,3.9
Ben Ellefson,JAC,TE,2,4,1,10,10,0,2,1,2
Charlie Woerner,SF,TE,3,4,3,36,12,0,6.6,2.2,2.2
James Proche,BAL,WR,3,3,1,14,14,0,2.4,0.8,2.4
Hunter Bryant,DET,TE,2,3,1,44,44,0,5.4,2.7,5.4
Trenton Cannon,CAR,RB,5,3,3,16,5.3,0,7.9,1.58,0.61
Jason Cabinda,DET,FB,3,3,2,8,4,0,2.8,0.93,0.93
Cyril Grayson,TB,WR,2,3,0,0,0,0,0,0,0
Marlon Mack,IND,RB,1,3,3,30,10,0,8.6,8.6,1.23
Tommylee Lewis,NO,WR,4,3,1,5,5,0,2.9,0.73,0.97
Luke Willson,BAL,TE,2,3,1,12,12,0,2.2,1.1,2.2
Daurice Fountain,IND,WR,2,3,2,23,11.5,0,4.3,2.15,2.15
Tajae Sharpe,MIN,WR,3,3,0,0,0,0,0,0,0
Jeremy Sprinkle,WAS,TE,3,3,1,6,6,0,1.6,0.53,1.6
Le'Veon Bell,NYJ,RB,2,3,3,39,13,0,14.3,7.15,0.65
Vyncint Smith,NYJ,WR,2,3,1,13,13,0,2.3,1.15,2.3
Elijhaa Penny,NYG,RB,6,3,2,20,10,0,5.5,0.92,0.69
DeAndre Carter,HOU,WR,1,2,1,8,8,0,1.8,1.8,1.8
Cam Newton,NE,QB,15,2,2,35,17.5,1,269,17.93,1.94
Rico Gafford,LV,WR,2,2,0,0,0,0,0,0,0
Keith Kirkwood,CAR,WR,1,2,1,13,13,0,2.3,2.3,2.3
Daniel Brown,NYJ,TE,2,2,2,31,15.5,0,5.1,2.55,2.55
Anthony Sherman,KC,RB,4,2,1,5,5,1,8.3,2.08,2.08
Trenton Irwin,CIN,WR,1,2,1,5,5,0,1.5,1.5,1.5
Colby Parkinson,SEA,TE,1,2,2,16,8,0,3.6,3.6,1.8
AJ Dillon,GB,RB,9,2,2,21,10.5,0,40.3,4.48,0.84
Trevon Wesco,NYJ,TE,2,2,1,5,5,0,1.5,0.75,0.75
Josiah Deguara,GB,TE,1,2,1,12,12,0,2.2,2.2,2.2
Chandler Cox,MIA,RB,2,2,2,9,4.5,0,2.9,1.45,1.45
Alex Collins,SEA,RB,3,2,1,4,4,0,21.1,7.03,1.11
Tyler Davis,JAC,TE,1,2,0,0,0,0,0,0,0
Taiwan Jones,BUF,RB,2,2,0,0,0,0,0,0,0
Mike Boone,MIN,RB,5,2,2,10,5,0,14.9,2.98,1.15
Reggie Gilliam,BUF,FB,2,2,2,16,8,1,9.6,4.8,4.8
Donte Moncrief,NE,WR,2,2,1,15,15,0,2.9,1.45,1.45
Bruce Miller,JAC,RB,2,2,1,2,2,0,1.2,0.6,1.2
Dominique Dafney,GB,TE,2,2,2,26,13,1,10.6,5.3,5.3
Stephen Carlson,CLE,TE,2,2,1,11,11,0,2.1,1.05,2.1
Isaac Nauta,DET,TE,2,2,1,3,3,0,1.3,0.65,1.3
J.J. Taylor,NE,RB,5,2,1,4,4,0,12.4,2.48,0.52
Reggie Bonnafon,CAR,RB,2,2,2,18,9,1,16.7,8.35,1.19
Buddy Howell,HOU,RB,2,2,1,3,3,0,7.7,3.85,0.45
Jason Huntley,PHI,RB,3,2,1,0,0,0,2.9,0.97,0.48
Colin Thompson,CAR,TE,2,2,1,7,7,1,7.7,3.85,7.7
Temarrick Hemingway,WAS,TE,2,2,1,10,10,0,2,1,2
Marvin Hall,CLE,WR,1,2,1,12,12,0,2.2,2.2,2.2
Patrick Mahomes,KC,QB,15,2,0,0,0,0,379.8,25.32,6.03
Isaiah Zuber,NE,WR,4,2,2,29,14.5,0,7,1.75,1.75
Gehrig Dieter,KC,WR,1,2,1,10,10,0,2,2,2
Craig Reynolds,JAC,RB,1,1,1,3,3,0,1.7,1.7,0.85
LeVante Bellamy,DEN,RB,2,1,1,5,5,0,2.6,1.3,0.52
Nick Gates,NYG,C,1,1,0,0,0,0,0,0,0
Kenjon Barner,TB,RB,1,1,0,0,0,0,0,0,0
Brandon Dillon,MIN,TE,1,1,1,6,6,0,1.6,1.6,1.6
Dante Pettis,SF,WR,1,1,0,0,0,0,0,0,0
D'Onta Foreman,TEN,RB,5,1,1,5,5,1,17,3.4,0.74
DeAndre Washington,KC,RB,1,1,1,2,2,0,1.7,1.7,0.43
Jordan Thomas,NE,OLB,1,1,0,0,0,0,0,0,0
Jordan Thomas,ARI,OLB,1,1,1,3,3,1,7.3,7.3,7.3
Cullen Gillaspia,HOU,FB,1,1,1,6,6,0,1.6,1.6,1.6
Eric Fisher,KC,OL,1,1,1,2,2,1,7.2,7.2,7.2
C.J. Goodwin,DAL,CB,1,1,0,0,0,0,0,0,0
Ezekiel Turner,ARI,ILB,1,1,1,26,26,0,3.6,3.6,3.6
Scottie Phillips,HOU,RB,1,1,1,7,7,0,2.6,2.6,0.87
Dak Prescott,DAL,QB,5,1,1,11,11,1,135.6,27.12,7.14
D.J. Foster,ARI,RB,2,1,1,7,7,0,1.9,0.95,0.63
P.J. Walker,CAR,QB,4,1,0,0,0,0,13.1,3.28,2.62
Nick Bellore,SEA,ILB,1,1,1,9,9,0,2.4,2.4,1.2
Joe Reed,LAC,WR,3,1,0,0,0,0,8.9,2.97,1.78
Adrian Killins,PHI,RB,1,1,1,2,2,0,0,0,0
Penny Hart,SEA,WR,1,1,1,3,3,0,3.2,3.2,1.6
Dontrell Hilliard,CLE,RB,2,1,1,2,2,0,6,3,0.6
Brandon Allen,CIN,QB,5,1,0,0,0,0,53.7,10.74,4.13
Antonio Williams,BUF,RB,1,1,1,20,20,0,21.3,21.3,1.64
Austin Walter,SF,RB,1,1,1,27,27,0,4,4,2
Dede Westbrook,JAC,WR,1,1,1,4,4,0,1.4,1.4,1.4
Jordan Howard,MIA,RB,5,1,1,-3,-3,0,28,5.6,0.97
Siran Neal,BUF,CB,1,1,1,13,13,0,2.3,2.3,2.3
Cody Hollister,TEN,WR,1,1,1,12,12,0,2.2,2.2,2.2
Jerald Hawkins,PIT,OL,1,1,0,0,0,0,0,0,0
Jake Kumerow,BUF,WR,1,1,1,22,22,1,9.2,9.2,9.2
Baker Mayfield,CLE,QB,16,1,1,6,6,0,254.5,15.91,4.63
Seth DeValve,ARI,TE,1,1,0,0,0,0,0,0,0
Kendall Lamm,CLE,T,1,1,1,1,1,1,7.1,7.1,7.1
J.P. Holtz,CHI,TE,1,1,0,0,0,0,0,0,0
Antony Auclair,TB,TE,1,1,0,0,0,0,0,0,0
Marcus Baugh,WAS,TE,1,1,1,2,2,0,1.2,1.2,1.2
Taywan Taylor,CLE,WR,1,1,0,0,0,0,0,0,0
Jalen Hurts,PHI,QB,14,1,1,3,3,0,113.4,8.1,1.77
Marcus Kemp,KC,WR,1,1,1,11,11,0,2.1,2.1,2.1
Ricky Seals-Jones,KC,TE,1,1,0,0,0,0,0,0,0
Jason Croom,PHI,TE,1,1,1,3,3,1,7.3,7.3,7.3
Blake Jarwin,DAL,TE,1,1,1,12,12,0,2.2,2.2,2.2
Ryan Tannehill,TEN,QB,16,1,1,0,0,0,345.3,21.58,7.85
Eric Tomlinson,BAL,TE,1,1,0,0,0,0,0,0,0
Hakeem Butler,PHI,TE,1,1,0,0,0,0,0,0,0
Bobby Massie,CHI,OL,1,1,1,4,4,0,1.4,1.4,1.4
Ty Johnson,DET,RB,1,1,0,0,0,0,0,0,0
Mohamed Sanu,SF,WR,1,1,1,9,9,0,1.9,1.9,1.9
Mason Schreck,CIN,TE,1,1,0,0,0,0,0,0,0
Josh Allen,BUF,QB,16,1,1,12,12,1,406,25.38,3.94
Andy Dalton,DAL,QB,11,1,1,-3,-3,0,144.9,13.17,5
Matthew Stafford,DET,QB,16,1,0,0,0,0,266.6,16.66,9.19
Gardner Minshew,JAC,QB,9,1,1,0,0,0,163.7,18.18,5.46
Aaron Rodgers,GB,QB,16,1,1,-6,-6,0,388.3,24.27,9.96
Derek Carrier,LV,TE,1,1,1,14,14,0,2.4,2.4,2.4
Jonathan Ward,ARI,RB,1,1,1,11,11,1,8.1,8.1,8.1
Noah Togiai,IND,TE,1,1,0,0,0,0,0,0,0
Aaron Brewer,TEN,G,1,1,0,0,0,0,0,0,0
Jaleel Scott,NYJ,WR,1,1,1,16,16,0,2.6,2.6,2.6
Jeff Badet,WAS,WR,1,1,0,0,0,0,0,0,0
Kevin Rader,PIT,TE,1,1,0,0,0,0,0,0,0
Ryan Fitzpatrick,MIA,QB,9,1,1,0,0,0,155.7,17.3,5.02
