rank,id,player,team,pos,game.week,opp,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,pass_td,pass_int,pass_rating,rush_att,rush_yds,rush_yds_per_att,rush_td,fpts_ppr
110,23267,Bailey Zappe,NE,QB,1,CIN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
111,23267,Bailey Zappe,KC,QB,1,BAL,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
112,21810,Tyler Huntley,BAL,QB,1,KC,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
113,25372,Zack Annexstad,TB,QB,1,WAS,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
114,16763,Marcus Mariota,WAS,QB,1,TB,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
115,20874,Trace McSorley,WAS,QB,1,TB,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
116,25109,Sam Hartman,WAS,QB,1,TB,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
117,20703,John Wolford,TB,QB,1,WAS,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
118,24983,Michael Pratt,TB,QB,1,WAS,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
119,20929,Brett Rypien,CHI,QB,1,TEN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
120,25114,Austin Reed,CHI,QB,1,TEN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
121,24983,Michael Pratt,GB,QB,1,PHI,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
122,24476,Sean Clifford,GB,QB,1,PHI,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
123,20779,Will Grier,PHI,QB,1,GB,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
124,24124,Tanner McKee,PHI,QB,1,GB,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
125,25311,John Rhys Plumlee,PIT,QB,1,ATL,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
126,25590,John Paddock,ATL,QB,1,PIT,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
127,19029,Nathan Peterman,ATL,QB,1,PIT,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
128,20053,Kyle Allen,PIT,QB,1,ATL,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
129,23647,Anthony Brown,BUF,QB,1,ARI,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
130,22146,Ben DiNucci,BUF,QB,1,ARI,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
131,21818,Shane Buechele,BUF,QB,1,ARI,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
132,19972,Mike White,BUF,QB,1,ARI,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
133,22502,Desmond Ridder,ARI,QB,1,BUF,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
134,25311,John Rhys Plumlee,JAC,QB,1,MIA,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
135,23476,E.J. Perry,JAC,QB,1,MIA,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
136,19972,Mike White,MIA,QB,1,JAC,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
137,20283,Tim Boyle,MIA,QB,1,JAC,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
138,18973,C.J. Beathard,JAC,QB,1,MIA,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
139,21814,Jake Luton,CAR,QB,1,NO,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
140,23186,Spencer Rattler,NO,QB,1,CAR,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
141,20703,John Wolford,CAR,QB,1,NO,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
142,25353,Jack Plummer,CAR,QB,1,NO,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
