rank,id,player,team,pos,game.week,opp,rush_att,rush_yds,rush_yds_per_att,rush_td,rec_tgt,rec,rec_yds,rec_td,fum,fum_lost,fpts_ppr
204,22533,Demetric Felton,CHI,RB,1,TEN,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0
205,25548,Trent Pennix,IND,RB,1,HOU,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0
206,25623,Nathaniel Peat,DAL,RB,1,CLE,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,25481,Ian Wheeler,CHI,RB,1,TEN,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,20018,Nick Bawden,HOU,RB,1,IND,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,19003,Tarik Cohen,NYJ,RB,1,SF,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0
210,24008,Troy Hairston,HOU,RB,1,IND,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,22647,Chris Evans,CIN,RB,1,NE,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,19798,Nick Chubb,CLE,RB,1,DAL,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,23188,Austin Jones,WAS,RB,1,TB,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,25090,Terrell Jennings,NE,RB,1,CIN,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,25051,Dante Miller,NYG,RB,1,MIN,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,23052,Nate McCrary,GB,RB,1,PHI,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,23632,Brittain Brown,LV,RB,1,LAC,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,25322,Jabari Small,TEN,RB,1,CHI,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,24503,Robert Burns,ATL,RB,1,PIT,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0
220,23713,Aaron Shampklin,PIT,RB,1,ATL,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,25066,Aidan Robbins,CLE,RB,1,DAL,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,24706,Owen Wright,BAL,RB,1,KC,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,24381,Jack Colletto,PIT,RB,1,ATL,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,23636,Zander Horvath,MIA,RB,1,JAC,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,21854,Anthony McFarland Jr.,MIA,RB,1,JAC,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,19912,Nyheim Hines,CLE,RB,1,DAL,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,25497,Lorenzo Lingard,NYG,RB,1,MIN,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,22533,Demetric Felton,IND,RB,1,HOU,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
