rank,id,player,team,pos,game.week,opp,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,pass_td,pass_int,pass_rating,rush_att,rush_yds,rush_yds_per_att,rush_td,fpts_ppr
108,21818,Shane Buechele,BUF,QB,1,ARI,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
109,25353,Jack Plummer,CAR,QB,1,NO,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
110,22146,Ben DiNucci,BUF,QB,1,ARI,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
111,21814,Jake Luton,CAR,QB,1,NO,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
112,22502,Desmond Ridder,ARI,QB,1,BUF,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
113,18123,Jeff Driskel,WAS,QB,1,TB,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
114,25358,Tanner Mordecai,SF,QB,1,NYJ,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
115,20053,Kyle Allen,PIT,QB,1,ATL,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
116,20929,Brett Rypien,CHI,QB,1,TEN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
117,23236,Emory Jones,BAL,QB,1,KC,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
118,23183,Matt Corral,MIN,QB,1,NYG,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
119,23186,Spencer Rattler,NO,QB,1,CAR,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
120,24170,Clayton Tune,ARI,QB,1,BUF,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
121,24476,Sean Clifford,GB,QB,1,PHI,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
