"Player","Tm","Pos","Opp","PaCom","PaAtt","PaYds","PaTDs","INT","RuAtt","RuYds","RuTDs","Tar","Rec","ReYds","ReTDs","Fum","FGM","39M","49M","50M","XPM","Sks","FR","DINT","DTD","PPG","Yds","0.5","PPR","Non"
"Robert Woods","HOU","WR","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.3","3.0","0.1","0.0","","","","","","","","","","","","1.0","1.1","0.8"
"Ben Sinnott","WAS","TE","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.9","0.6","5.9","0.1","0.0","","","","","","","","","","","","1.2","1.5","0.9"
"Will Levis","TEN","QB","NYJ","21.5","34.2","201.4","0.7","0.9","3.8","12.9","0.2","0.0","0.0","0.0","0.0","0.3","","","","","","","","","","","","11.8","11.8","11.8"
"Malachi Corley","NYJ","WR","TEN","0.0","0.0","0.0","0.0","0.0","0.1","0.6","0.0","0.0","0.2","3.0","0.1","0.0","","","","","","","","","","","","1.0","1.0","0.9"
"Laviska Shenault Jr.","SEA","WR","NE","0.0","0.0","0.0","0.0","0.0","0.2","0.9","0.0","0.0","0.4","4.0","0.0","0.0","","","","","","","","","","","","0.9","1.1","0.7"
"Jamison Crowder","WAS","WR","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.4","0.3","3.0","0.1","0.0","","","","","","","","","","","","0.9","1.1","0.8"
"Jermaine Burton","CIN","WR","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.6","0.4","5.0","0.0","0.0","","","","","","","","","","","","0.9","1.1","0.7"
"John Bates","WAS","TE","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7","0.5","5.0","0.1","0.0","","","","","","","","","","","","1.1","1.4","0.9"
"Tylan Wallace","BAL","WR","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.3","4.0","0.1","0.0","","","","","","","","","","","","0.9","1.0","0.7"
"Drew Ogletree","IND","TE","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7","0.5","5.9","0.0","0.0","","","","","","","","","","","","1.1","1.3","0.8"
"Gunner Olszewski","NYG","WR","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.6","0.4","4.1","0.0","0.0","","","","","","","","","","","","0.8","1.0","0.6"
"Deonte Harty","BAL","WR","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","3.0","0.1","0.0","","","","","","","","","","","","0.8","1.0","0.7"
"Jared Wiley","KC","TE","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","5.0","0.0","0.0","","","","","","","","","","","","1.0","1.3","0.8"
"Payne Durham","TB","TE","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.6","0.4","4.0","0.1","0.0","","","","","","","","","","","","1.0","1.2","0.8"
"Chris Moore","ARI","WR","LA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","3.0","0.1","0.0","","","","","","","","","","","","0.7","0.8","0.6"
"DJ Turner","LV","WR","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","3.0","0.0","0.0","","","","","","","","","","","","0.7","0.9","0.6"
"Brady Russell","SEA","TE","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","1.0","0.1","0.0","","","","","","","","","","","","0.9","1.0","0.9"
"Kayshon Boutte","NE","WR","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","3.0","0.0","0.0","","","","","","","","","","","","0.7","0.8","0.6"
"Tip Reiman","ARI","TE","LA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.6","0.4","4.0","0.1","0.0","","","","","","","","","","","","0.9","1.1","0.7"
"Johnny Wilson","PHI","WR","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.3","4.0","0.0","0.0","","","","","","","","","","","","0.7","0.8","0.5"
"Tom Kennedy","DET","WR","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","4.0","0.0","0.0","","","","","","","","","","","","0.7","0.8","0.5"
"Anthony Gould","IND","WR","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","4.0","0.0","0.0","","","","","","","","","","","","0.7","0.8","0.5"
"Nick Vannett","TEN","TE","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","3.0","0.1","0.0","","","","","","","","","","","","0.9","1.1","0.7"
"Nick Westbrook-Ikhine","TEN","WR","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.1","1.0","0.1","0.0","","","","","","","","","","","","0.6","0.7","0.6"
"Luke Farrell","JAC","TE","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","0.3","3.0","0.1","0.0","","","","","","","","","","","","0.8","1.0","0.7"
"Zach Pascal","ARI","WR","LA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","2.0","0.0","0.0","","","","","","","","","","","","0.6","0.7","0.5"
"Harrison Bryant","LV","TE","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","3.0","0.1","0.0","","","","","","","","","","","","0.8","0.9","0.6"
"Brenton Strange","JAC","TE","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","3.0","0.1","0.0","","","","","","","","","","","","0.8","0.9","0.6"
"Erick All","CIN","TE","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","4.0","0.0","0.0","","","","","","","","","","","","0.8","1.0","0.6"
"Eric Saubert","SF","TE","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","2.0","0.1","0.0","","","","","","","","","","","","0.7","0.8","0.6"
"Marcedes Lewis","CHI","TE","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","3.0","0.0","0.0","","","","","","","","","","","","0.7","0.8","0.5"
"Mecole Hardman","KC","WR","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","2.0","0.0","0.0","","","","","","","","","","","","0.4","0.5","0.3"
"Isaiah Williams","DET","WR","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","2.0","0.0","0.0","","","","","","","","","","","","0.4","0.5","0.3"
"John Stephens","DAL","TE","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","3.0","0.0","0.0","","","","","","","","","","","","0.6","0.8","0.5"
"Stone Smartt","LAC","TE","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","3.0","0.0","0.0","","","","","","","","","","","","0.6","0.8","0.5"
"Dareke Young","SEA","WR","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","1.0","0.0","0.0","","","","","","","","","","","","0.4","0.4","0.3"
