rank,id,player,team,pos,game.week,opp,rec_tgt,rec,catch_rate,rec_yds,rec_td,rec_yds_per_tgt,rec_yds_per_rec,rush_att,rush_yds,rush_yds_per_att,rush_td,fum,fum_lost,fpts_ppr
241,23634,Samori Toure,CHI,WR,2,HOU,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
242,25122,Jalen Coker,CAR,WR,2,LAC,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
243,25496,Jadon Janke,HOU,WR,2,CHI,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
244,25773,John Jackson,CHI,WR,2,HOU,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
245,25761,Peter Leblanc,CHI,WR,2,HOU,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
246,25511,Jaylen Johnson,LAC,WR,2,CAR,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
247,19980,Deon Cain,CAR,WR,2,LAC,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
248,22600,Johnny Johnson III,HOU,WR,2,CHI,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
249,19854,Dante Pettis,CHI,WR,2,HOU,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
250,21730,Collin Johnson,CHI,WR,2,HOU,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
251,19064,Trent Taylor,SF,WR,2,MIN,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
252,24572,Thayer Thomas,MIN,WR,2,SF,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
253,21960,Freddie Swain,CHI,WR,2,HOU,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
254,23931,Justin Hall,MIN,WR,2,SF,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
255,24511,Tyrell Shavers,BUF,WR,2,MIA,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
256,23881,Jontre Kirklin,SF,WR,2,MIN,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
257,23659,Tay Martin,SF,WR,2,MIN,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
